"Manufacturer Part Number","Digi-Key Part Number","Customer Reference","Packaging","Quantity","Unit Price","Extended Price","Description"
"TXB0104DR","296-21928-1-ND","U1","Cut Tape (CT)","1","1.94000","AU$1.94","IC TRNSLTR BIDIRECTIONAL 14SOIC"
"S4B-PH-K-S(LF)(SN)","455-1721-ND","J1","Bulk","1","0.32000","AU$0.32","CONN HEADER R/A 4POS 2MM"
"PPTC111LFBN-RC","S7009-ND","","Tray","2","1.06000","AU$2.12","CONN HDR 11POS 0.1 TIN PCB"
"CL10B104KB85PNL","1276-6994-1-ND","C1 C2","Cut Tape (CT)","2","0.23000","AU$0.46","CAP CER 0.1UF 50V X7R 0603"
"PPTC021LFBN-RC","S7000-ND","J2","Tray","1","0.47000","AU$0.47","CONN HDR 2POS 0.1 TIN PCB"
"2471","1528-1223-ND","A1","Bulk","1","14.59000","AU$14.59","ESP8266 HUZZAH BREAKOUT BOARD"
"CRCW06032K20FKEAC","541-4022-1-ND","R1","Cut Tape (CT)","1","0.15000","AU$0.15","RES SMD 2.2K OHM 1% 1/10W 0603"
"CRCW06033K32FKEAC","541-4042-1-ND","R2","Cut Tape (CT)","1","0.15000","AU$0.15","RES SMD 3.32K OHM 1% 1/10W 0603"
"CRCW06031K00FKEA","541-1.00KHCT-ND","R3, R4","Cut Tape (CT)","2","0.15000","AU$0.30","RES SMD 1K OHM 1% 1/10W 0603"
"KMR221NG LFS","CKN10244CT-ND","SW1","Cut Tape (CT)","1","0.76000","AU$0.76","SWITCH TACTILE SPST-NO 0.05A 32V"
"SPHD-002T-P0.5","455-1313-1-ND","PH Crimp Connectors","Cut Tape (CT)","4","0.15000","AU$0.60","CONN TERM PHD CRIMP 24-28AWG TIN"
"SPH-002T-P0.5L","455-2148-1-ND","PA Crimp Connectors","Cut Tape (CT)","4","0.15000","AU$0.60","CONN TERMINAL 28-24AWG TIN"
"PAP-05V-S","455-1489-ND","PA Connector","Bulk","1","0.25000","AU$0.25","CONN HOUSING PA 5POS 2MM WHITE"
"PHR-4","455-1164-ND","PH Connector","Bulk","1","0.15000","AU$0.15","CONN HOUSING PH 4POS 2MM WHITE"